1,"Thiele, Fred W., Jr.",Suffolk,"District 1 - Thiele, Fred W., Jr. (Suffolk)",ThieleF@nyassembly.gov
2,"Palumbo, Anthony H.",Suffolk,"District 2 - Palumbo, Anthony H. (Suffolk)",palumboa@nyassembly.gov
3,"DeStefano, Joe",Suffolk,"District 3 - DeStefano, Joe (Suffolk)",destefanoj@nyassembly.gov
4,"Englebright, Steve",Suffolk,"District 4 - Englebright, Steve (Suffolk)",EngleS@nyassembly.gov
5,"Smith, Doug",Suffolk,"District 5 - Smith, Doug (Suffolk)",smithd@nyassembly.gov
6,"Ramos, Phil",Suffolk,"District 6 - Ramos, Phil (Suffolk)",ramosp@nyassembly.gov
7,"Garbarino, Andrew R.",Suffolk,"District 7 - Garbarino, Andrew R. (Suffolk)",GarbarinoA@nyassembly.gov
8,"Fitzpatrick, Michael J.",Suffolk,"District 8 - Fitzpatrick, Michael J. (Suffolk)",FitzpatrickM@nyassembly.gov
9,"LiPetri, Michael","Suffolk, Nassau","District 9 - LiPetri, Michael (Suffolk, Nassau)",lipetrim@nyassembly.gov
10,"Stern, Steve",Suffolk,"District 10 - Stern, Steve (Suffolk)",sterns@nyassembly.gov
11,"Jean-Pierre, Kimberly",Suffolk,"District 11 - Jean-Pierre, Kimberly (Suffolk)",jeanpierrek@nyassembly.gov
12,Vacant,Suffolk,District 12 - Vacant (Suffolk),
13,"Lavine, Charles D.",Nassau,"District 13 - Lavine, Charles D. (Nassau)",LavineC@nyassembly.gov
14,"McDonough, David G.",Nassau,"District 14 - McDonough, David G. (Nassau)",mcdonoughd@nyassembly.gov
15,"Montesano, Michael",Nassau,"District 15 - Montesano, Michael (Nassau)",MontesanoM@nyassembly.gov
16,"D'Urso, Anthony",Nassau,"District 16 - D'Urso, Anthony (Nassau)",dursoa@nyassembly.gov
17,"Mikulin, John K.",Nassau,"District 17 - Mikulin, John K. (Nassau)",mikulinj@nyassembly.gov
18,"Darling, Taylor",Nassau,"District 18 - Darling, Taylor (Nassau)",darlingt@nyassembly.gov
19,"Ra, Edward P.",Nassau,"District 19 - Ra, Edward P. (Nassau)",rae@nyassembly.gov
20,"Miller, Melissa",Nassau,"District 20 - Miller, Melissa (Nassau)",MillerML@nyassembly.gov
21,"Griffin, Judy",Nassau,"District 21 - Griffin, Judy (Nassau)",griffinj@nyassembly.gov
22,"Solages, Michaelle C.",Nassau,"District 22 - Solages, Michaelle C. (Nassau)",SolagesM@nyassembly.gov
23,"Pheffer Amato, Stacey",Queens,"'District 23 - Pheffer Amato, Stacey (Queens)',",amatos@nyassembly.gov
24,"Weprin, David I.",Queens,"'District 24 - Weprin, David I. (Queens)',",WeprinD@nyassembly.gov
25,"Rozic, Nily",Queens,"'District 25 - Rozic, Nily (Queens)',",RozicN@nyassembly.gov
26,"Braunstein, Edward C.",Queens,"'District 26 - Braunstein, Edward C. (Queens)',",braunsteine@nyassembly.gov
27,"Rosenthal, Daniel",Queens,"'District 27 - Rosenthal, Daniel (Queens)',",rosenthald@nyassembly.gov
28,"Hevesi, Andrew",Queens,"'District 28 - Hevesi, Andrew (Queens)',",HevesiA@nyassembly.gov
29,"Hyndman, Alicia",Queens,"'District 29 - Hyndman, Alicia (Queens)',",hyndmana@nyassembly.gov
30,"Barnwell, Brian",Queens,"'District 30 - Barnwell, Brian (Queens)',",BarnwellB@nyassembly.gov
31,"Anderson, Khaleel M.",Queens,"'District 31 - Anderson, Khaleel M. (Queens)',",andersonk@nyassembly.gov
32,"Cook, Vivian E.",Queens,"'District 32 - Cook, Vivian E. (Queens)',",CookV@nyassembly.gov
33,"Vanel, Clyde",Queens,"'District 33 - Vanel, Clyde (Queens)',",vanelc@nyassembly.gov
34,"DenDekker, Michael G.",Queens,"'District 34 - DenDekker, Michael G. (Queens)',",DenDekkerM@nyassembly.gov
35,"Aubry, Jeffrion L.",Queens,"'District 35 - Aubry, Jeffrion L. (Queens)',",AubryJ@nyassembly.gov
36,"Simotas, Aravella",Queens,"'District 36 - Simotas, Aravella (Queens)',",simotasa@nyassembly.gov
37,"Nolan, Catherine",Queens,"'District 37 - Nolan, Catherine (Queens)',",NolanC@nyassembly.gov
38,"Miller, Michael",Queens,"'District 38 - Miller, Michael (Queens)',",MillerMG@nyassembly.gov
39,"Cruz, Catalina ",Queens,"'District 39 - Cruz, Catalina  (Queens)',",cruzc@nyassembly.gov
40,"Kim, Ron",Queens,"'District 40 - Kim, Ron (Queens)',",KimR@nyassembly.gov
41,"Weinstein, Helene E.",Kings - Brooklyn,"District 41 - Weinstein, Helene E. (Kings - Brooklyn)",WeinstH@nyassembly.gov
42,"Bichotte, Rodneyse",Kings - Brooklyn,"District 42 - Bichotte, Rodneyse (Kings - Brooklyn)",bichotter@nyassembly.gov
43,"Richardson, Diana C.",Kings - Brooklyn,"District 43 - Richardson, Diana C. (Kings - Brooklyn)",district43@nyassembly.gov
44,"Carroll, Robert C.",Kings - Brooklyn,"District 44 - Carroll, Robert C. (Kings - Brooklyn)",CarrollR@nyassembly.gov
45,"Cymbrowitz, Steven",Kings - Brooklyn,"District 45 - Cymbrowitz, Steven (Kings - Brooklyn)",CymbroS@nyassembly.gov
46,"Frontus, Mathylde",Kings - Brooklyn,"District 46 - Frontus, Mathylde (Kings - Brooklyn)",FrontusM@nyassembly.gov
47,"Colton, William",Kings - Brooklyn,"District 47 - Colton, William (Kings - Brooklyn)",ColtonW@nyassembly.gov
48,"Eichenstein, Simcha",Kings - Brooklyn,"District 48 - Eichenstein, Simcha (Kings - Brooklyn)",EichensteinS@nyassembly.gov
49,"Abbate, Peter J., Jr. ",Kings - Brooklyn,"District 49 - Abbate, Peter J., Jr.  (Kings - Brooklyn)",abbatep@nyassembly.gov
50,"Lentol, Joseph R.",Kings,"District 50 - Lentol, Joseph R. (Kings)",LentolJ@nyassembly.gov
51,"Ortiz, Felix W.",Kings - Brooklyn,"District 51 - Ortiz, Felix W. (Kings - Brooklyn)",OrtizF@nyassembly.gov
52,"Simon, Jo Anne",Kings - Brooklyn,"District 52 - Simon, Jo Anne (Kings - Brooklyn)",simonj@nyassembly.gov
53,"Davila, Maritza",Kings - Brooklyn,"District 53 - Davila, Maritza (Kings - Brooklyn)",DavilaM@nyassembly.gov
54,"Dilan, Erik M.",Kings - Brooklyn,"District 54 - Dilan, Erik M. (Kings - Brooklyn)",DilanE@nyassembly.gov
55,"Walker, Latrice",Kings - Brooklyn,"District 55 - Walker, Latrice (Kings - Brooklyn)",WalkerL@nyassembly.gov
56,"Wright, Tremaine",Kings - Brooklyn,"District 56 - Wright, Tremaine (Kings - Brooklyn)",wrightt@nyassembly.gov
57,"Mosely, Walter T.",Kings - Brooklyn,"District 57 - Mosely, Walter T. (Kings - Brooklyn)",MosleyW@nyassembly.gov
