1,"LaValle, Kenneth P.",Suffolk,"District 1 - LaValle, Kenneth P. (Suffolk)",lavalle@nysenate.gov
2,Vacant,Suffolk,District 2 - Vacant (Suffolk),dist2@nysenate.gov
3,"Martinez, Monica R.",Suffolk,"District 3 - Martinez, Monica R. (Suffolk)",martinez@nysenate.gov
4,"Boyle, Philip M.",Suffolk,"District 4 - Boyle, Philip M. (Suffolk)",pboyle@nysenate.gov
5,"Gaughran, James F. ","Nassau, Suffolk","District 5 - Gaughran, James F.  (Nassau, Suffolk)",gaughran@nysenate.gov
6,"Thomas, Kevin M.",Nassau,"District 6 - Thomas, Kevin M. (Nassau)",thomas@nysenate.gov
7,"Kaplan, Anna M.",Nassau,"District 7 - Kaplan, Anna M. (Nassau)",kaplan@nysenate.gov
8,"Brooks, John E. ","Nassau, Suffolk","District 8 - Brooks, John E.  (Nassau, Suffolk)",brooks@nysenate.gov
9,"Kaminsky, Todd",Nassau,"District 9 - Kaminsky, Todd (Nassau)",kaminsky@nysenate.gov
10,"Sanders, James, Jr.",Queens,"District 10 - Sanders, James, Jr. (Queens)",sanders@nysenate.gov
11,"Liu, John C.",Queens,"District 11 - Liu, John C. (Queens)",liu@nysenate.gov
12,"Gianaris, Michael N.",Queens,"District 12 - Gianaris, Michael N. (Queens)",gianaris@nysenate.gov
13,"Ramos, Jessica",Queens,"District 13 - Ramos, Jessica (Queens)",ramos@nysenate.gov
14,"Comrie, Leroy G., Jr. ",Queens,"District 14 - Comrie, Leroy G., Jr.  (Queens)",comrie@nysenate.gov
15,"Addabo, Joseph P., Jr.",Queens,"District 15 - Addabo, Joseph P., Jr. (Queens)",addabbo@nysenate.gov
16,"Stavisky, Toby Ann",Queens,"District 16 - Stavisky, Toby Ann (Queens)",stavisky@nysenate.gov
17,"Felder, Simcha",Kings,"District 17 - Felder, Simcha (Kings)",felder@nysenate.gov
18,"Salazar, Julia",Kings,"District 18 - Salazar, Julia (Kings)",salazar@nysenate.gov
19,"Persaud, Roxanne J.",Kings,"District 19 - Persaud, Roxanne J. (Kings)",persaud@nysenate.gov
20,"Myrie, Zellnor Y.",Kings,"District 20 - Myrie, Zellnor Y. (Kings)",myrie@nysenate.gov
21,"Parker, Kevin S.",Kings,"District 21 - Parker, Kevin S. (Kings)",parker@nysenate.gov
22,"Gounardes, Andrew S.",Kings,"District 22 - Gounardes, Andrew S. (Kings)",gounardes@nysenate.gov
23,"Savino, Diane J.","Kings, Richmond","District 23 - Savino, Diane J. (Kings, Richmond)",savino@nysenate.gov
24,"Lanza, Andrew J.",Richmond,"District 24 - Lanza, Andrew J. (Richmond)",lanza@nysenate.gov
25,"Montgomery, Velmanette",Kings,"District 25 - Montgomery, Velmanette (Kings)",montgome@nysenate.gov
26,"Kavanagh, Brian","Kings, New York","District 26 - Kavanagh, Brian (Kings, New York)",kavanagh@nysenate.gov
27,"Hoylman, Brad",New York,"District 27 - Hoylman, Brad (New York)",hoylman@nysenate.gov
28,"Krueger, Liz",New York,"District 28 - Krueger, Liz (New York)",lkrueger@nysenate.gov
29,"Serrano, Jose M.","Bronx, New York","District 29 - Serrano, Jose M. (Bronx, New York)",serrano@nysenate.gov
30,"Benjamin, Brian A.",New York,"District 30 - Benjamin, Brian A. (New York)",bbenjamin@nysenate.gov
31,"Jackson, Robert",New York,"District 31 - Jackson, Robert (New York)",jackson@nysenate.gov
32,"Sepulveda, Luis R.",Bronx,"District 32 - Sepulveda, Luis R. (Bronx)",sepulveda@nysenate.gov
33,"Rivera, Gustavo",Bronx,"District 33 - Rivera, Gustavo (Bronx)",grivera@nysenate.gov
34,Biaggi. Alessandra ,"Bronx, Westchester","District 34 - Biaggi. Alessandra  (Bronx, Westchester)",biaggi@nysenate.gov
35,"Stewart-Cousins, Andrea ",Westchester,"District 35 - Stewart-Cousins, Andrea  (Westchester)",scousins@nysenate.gov
36,"Bailey, Jamaal T.","Bronx, Westchester","District 36 - Bailey, Jamaal T. (Bronx, Westchester)",bailey@nysenate.gov
37,"Mayer, Shelley B.",Westchester,"District 37 - Mayer, Shelley B. (Westchester)",smayer@nysenate.gov
38,"Carlucci, David ","Rockland, Westchester","District 38 - Carlucci, David  (Rockland, Westchester)",carlucci@nysenate.gov
39,"Skoufis, James","Rockland, Orange, Ulster","District 39 - Skoufis, James (Rockland, Orange, Ulster)",skoufis@nysenate.gov
40,"Harckham, Peter B. ","Putnam, Dutchess, Westchester","District 40 - Harckham, Peter B.  (Putnam, Dutchess, Westchester)",harckham@nysenate.gov
41,"Serino, Susan J.","Dutchess, Putnam","District 41 - Serino, Susan J. (Dutchess, Putnam)",serino@nysenate.gov
42,"Metzger, Jen","Sullivan, Delaware, Orange, Ulster","District 42 - Metzger, Jen (Sullivan, Delaware, Orange, Ulster)",metzger@nysenate.gov
43,"Jordan, Daphne ","Columbia, Renesselaer, Saratoga, Washington","District 43 - Jordan, Daphne  (Columbia, Renesselaer, Saratoga, Washington)",jordan@nysenate.gov
44,"Breslin, Neil D.","Albany, Rensselaer","District 44 - Breslin, Neil D. (Albany, Rensselaer)",breslin@nysenate.gov
45,"Little, Elizabeth O'C. ","Clinton, Essex, Franklin, Warren, St.Lawrence, Washington","District 45 - Little, Elizabeth O'C.  (Clinton, Essex, Franklin, Warren, St.Lawrence, Washington)",little@nysenate.gov
46,"Amedore, George A., Jr.","Greene, Montgomery, Albany, Schenectady, Ulster","District 46 - Amedore, George A., Jr. (Greene, Montgomery, Albany, Schenectady, Ulster)",amedore@nysenate.gov
47,"Griffo, Joseph A.","Lewis, Oneida, St. Lawrence ","District 47 - Griffo, Joseph A. (Lewis, Oneida, St. Lawrence )",griffo@nysenate.gov
48,"Ritchie, Patricia A.","Jefferson, Oswego, St.Lawrence","District 48 - Ritchie, Patricia A. (Jefferson, Oswego, St.Lawrence)",ritchie@nysenate.gov
49,"Tedisco, James N.","Fulton, Hamilton, Herkimer, Schenectady, Saratoga","District 49 - Tedisco, James N. (Fulton, Hamilton, Herkimer, Schenectady, Saratoga)",tedisco@nysenate.gov
50,Vacant,"Onondaga, Cayuga","District 50 - Vacant (Onondaga, Cayuga)",dist50@nysenate.gov
51,"Seward, James L.","Cortland, Otsego, Schoharie, Cayuga, Chenango, Herkimer","District 51 - Seward, James L. (Cortland, Otsego, Schoharie, Cayuga, Chenango, Herkimer)",seward@nysenate.gov
52,"Akshar, Frederick J., II","Broome, Tioga, Chenango, Delaware","District 52 - Akshar, Frederick J., II (Broome, Tioga, Chenango, Delaware)",akshar@nysenate.gov
53,"May, Rachel","Madison, Oneida, Onondaga","District 53 - May, Rachel (Madison, Oneida, Onondaga)",may@nysenate.gov
54,"Helming, Pamela A.","Seneca, Wayne, Monroe, Ontario, Tompkins, Cayuga","District 54 - Helming, Pamela A. (Seneca, Wayne, Monroe, Ontario, Tompkins, Cayuga)",helming@nysenate.gov
55,"Funke, Rich","Monroe, Ontario","District 55 - Funke, Rich (Monroe, Ontario)",funke@nysenate.gov
56,"Robach, Joseph E.",Monroe,"District 56 - Robach, Joseph E. (Monroe)",robach@nysenate.gov
57,"Borello, George M.","Allegany, Cattaraugas, Chautauqua, Livingston","District 57 - Borello, George M. (Allegany, Cattaraugas, Chautauqua, Livingston)",borrello@nysenate.gov
58,"O'Mara, Thomas F.","Chemung, Schuyler, Steuben, Yates, Tompkins","District 58 - O'Mara, Thomas F. (Chemung, Schuyler, Steuben, Yates, Tompkins)",omara@nysenate.gov
59,"Gallivan, Patrick M.","Wyoming, Erie, Livingston, Monroe","District 59 - Gallivan, Patrick M. (Wyoming, Erie, Livingston, Monroe)",gallivan@nysenate.gov
60,Vacant,Erie,District 60 - Vacant (Erie),dist60@nysenate.gov     
61,"Ranzenhofer, Michael H.","Genesee, Erie, Monroe","District 61 - Ranzenhofer, Michael H. (Genesee, Erie, Monroe)",ranz@nysenate.gov
62,"Ortt, Robert G.","Orleans, Niagara, Monroe","District 62 - Ortt, Robert G. (Orleans, Niagara, Monroe)",ortt@nysenate.gov
63,"Kennedy, Timothy M. ",Erie,"District 63 - Kennedy, Timothy M.  (Erie)",kennedy@nysenate.gov
